Zone	data	land	farm	seen	pests	aware	seen.euro	member	supp.mgmt	petition	threat	cons	cull	hunt	supp.gvt
1	0	0	0	1	0			0	0	0		1	0	1	0
1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1
1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0
1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1
1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1
1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	1
1	0	1	1	1	0	1	1	0	0	0	0	1	0		0
1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1
1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1
1	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1
1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0
1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	0
1	0	1	0	1	0	1	1	1	1	0		1	0	1	0
1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	1
1	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0
1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0
1	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1
2	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1
2	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
2	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0
2	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0
2	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1
2	1	1	0	1	0	0	1	0	1	0	1	1	0	0	1
2	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1
2	1	1	0	1	0	0	1	0	1	1	1		1	1	1
2	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0
2	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0
2	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1
2	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0
2	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0
2	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1
2	1	0	0	1	0	1	0	0	1	1	1	0	1	1	1
2	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1
2	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0
2	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0
2	1	0	0	1	1	0	0	0	1	1	1	1	0	0	1
2	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1
2	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1
2	1	1	1	1	0	0	0	0	1	0	1	1	0		0
2	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0
2	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1
2	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0
2	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0
2	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1
2	1	1	1	1	0	0	0			0		1			
2	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1
2	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1
2	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0
2	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0
2	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1
2	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1
2	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0
2	1	0	0	1	0	0	0	0	1	0	1	1	0		0
2	1	1	0	1	0	0	0	0	1	0		1	0	0	
2	1	1	1	0	0	0	0	0	0	0		1		0	0
2	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1
2	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1
2	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1
2	1	1	1	1	0	0	0	0	1	0	1		0	0	0
2	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0
3	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0
3	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0
3	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1
3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1
3	1	1	0	0	0	0	0	0	1	0	1	1	0	1	
3	1	1	0	1	0	0	1	0	1	0	1	1	1	0	1
3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
3	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0
3	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1
3	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1
3	1	1	1	1	0	1	0	0	1	0	0	0	0	1	1
3	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1
3	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1
3	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0
3	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0
3	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0
3	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1
3	1	1	0	1	0	0	0	0	0		0	0	0	0	0
3	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0
3	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1
3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
3	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1
3	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0
3	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0
3	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0
3	0	1	0	1	0	0	0	0	1	0	1	0	0		0
3	0	0	0	1	0	1	0	0	0	0	0	0	0		0
3	0	1	0	1	0	1	1	0	1	0	0	1	1	1	0
3	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1
3	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1
3	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1
3	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0
3	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
3	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1
3	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0
3	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0
3	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1
3	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0
3	0	0	0	1	0	1	0	0	1	0	0		1	1	0
1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1
1	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0
1	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0
1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	
1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1
1	0	1	1	1	0	1	1	0	1	1	1		1	1	1
1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1
1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1
1	0	0	0	1	0	0	0	0	1	1	1		1	1	1
1	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1
1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0
1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	1
1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0
1	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1
1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1
1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1
1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1
1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1
1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1
1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1
1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	0	1	0	0	1	1		1	1	0	1
1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0
1	1	1	1	1	1	1	1	0	0		0	1		1	1
1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	1
1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1
1	1	1	0	0	0	0	0	0	1		1	1		0	1
1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1
1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0
1	1	1	1	1	0	0	0	0	1		0	1	0	0	0
1	1	1	1	1	0	1	1	0	1		1	1		1	1
1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1
1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0
1	1	0	0	0		0	0	0	0	0	0		0	0	0
1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1
1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
1	1	1	1	1	0	0	0	0	1	0	1	1			
1	1	1	0		0	0	0	0	1	1	1	1	1	1	1
1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0
1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1
1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1
1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1
1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0
1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0
1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1
1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1
1	1	1	1	1	0	0	0	0	1		0	1	1	0	
1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0
1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1
1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1
1	1	1	1	1	1	0	0	0	1	1	1	1	0		
1	1	1	1	1	0	0	0	0	1	1	1	1	1		
1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1
1	1	0	0	1	0	1	0	0		0	0	1		0	1
1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1
1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0
1	1	1	1	1	1	1	1		1		1	1	0	1	1
1	1	1	0	1	0	1	0	0	1	0	1		0	1	0
1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0
1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1
2	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0
2	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0
2	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0
2	1	1	0	1	0	0	0	0	1	0	1		0	0	0
2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
2	1	1	1	1	0	0	1	0	0	0	0	1		0	1
2	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1
2	1	1	0	1	0	0	0	0		0		1		0	1
2	1	1	0	1	0	0	0	0	1	1	0	1	1	1	1
2	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1
2	1	1	0	0	0	0	0	0	1		1	1			
2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
2	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1
2	1	1	1	1	0	1	1	0	1	0	0	1	0	0	
2	1	1	1	1	0	1	1	0	0	1	1	1	1		
2	1	1	0	1	1	0	0	0		0		1	0	0	
2	1	0	0	1	0	1	1		1		1	1	1	0	1
2	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1
2	1	0	0	1	0	1	1		1	1	1	1	0	0	1
2	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0
2	1	1	1	1	0	1	1	0	0	0	1	1		0	0
2	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1
2	1	1	0	1	0	0	0	0	1	1	1			0	1
2	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0
2	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1
2	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0
2	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0
2	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
2	1	1	0	0	0	0	0	0	1	0	1	1	0	0	
2	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1
2	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1
2	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1
2	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0
2	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0
2	0	0	0	1	0	0	0		1	1	1	1	1	1	1
2	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0
2	0	0	0	1	1	1	0	0	0	0	0		0	1	0
2	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1
2	0	1	0	1	0	0	0	0	1	0	1		0	0	0
2	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1
2	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1
2	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0
2	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1
2	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1
2	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
2	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1
2	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1
2	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1
2	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1
2	0	0	0	1	0	0	0	0	0		0	1	0	1	0
2	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0
2	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1
2	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1
2	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0
2	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0
2	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0
2	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1
2	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1
2	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1
2	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1
2	0	1	1	1	0	1	1	0	1	1			1	1	1
2	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0
2	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1
2	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1
2	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1
2	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1
2	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1
2	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1
2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
3	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1
3	1	0	0	0	0	0	0	0	0	0	1	1	0		
3	1	1	0	1	0	0	0	0	1	1	1	1		0	0
3	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1
3	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1
3	1	1	0	1	0	1	0	0	1	0	1	1	0	0	0
3	1	0	0	1	0	0	0	0		0		1	0		
3	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1
3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1
3	1	1	1	1	0	1	0	0	0	0	0		0	1	1
3	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0
3	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1
3	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1
3	1	1	1	1	0	1	0	0	1		1	0	1		
3	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1
3	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1
3	1	1	0	1	1	1	1	0			1	1		0	0
3	1	1	1	1	0	1	1	0	0	0	0		0	0	0
3	1	1	1	1	0	0	0	0		0		1		0	0
3	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1
3	1	1	1	1	0	1	0	0	1	1	1	1	1	0	
3	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1
3	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1
3	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0
3	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0
3	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0
3	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1
3	1	1	1	1	0	1	0	0	0	0	1	0		1	0
3	1	0	0	0	0	0	0	0	1	0	0	1	0		
3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
3	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1
3	1	0	0	1	0	0	0	0	1	0	1		0	0	0
3	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1
3	1	0	0	1	0	0	0	0	0	0	0	1	0		0
3	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1
3	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1
3	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0
3	1	0	0	1	0	0	0	0	1	0	1	1			
3	1	1	0	1	1	0	0	0	1	1	1	1	1		1
3	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1
3	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1
3	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1
3	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0
3	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1
3	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0
3	1	1	0	0	0	0	0	0		0	1	1	0	0	0
3	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1
3	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1
3	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0
3	1	0	0	1	1	0	0	0	1	1	1	1			
3	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1
3	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0
3	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0
3	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0
3	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1
3	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0
3	1	1	1	1	0	0	0	0	0	0	0		0	0	0
3	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
3	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1
3	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0
3	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0
3	1	1	0	1	0	0	0	0	1	0	0		0	0	0
3	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1
3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
3	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1
3	1	1	0	1	0	0	0	0		0	0	0	0	0	1
3	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1
3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1
3	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1
